timestamp,datetime,nodes,edges,components,density,bridges,diameter,transitivity,average_clustering,degree_assortativity,label_communities,lpa_communities,label_non_randomness,lpa_non_randomness,label_relative_non_randomness,lpa_relative_non_randomness,average_node_connectivity,burt_effective_size,closeness_vitality,common_neighbor_centrality,communicability_betweenness_centrality,constraint,degree_dist_entropy,degree_dist_entropy_norm,effective_size,nodes_intersect_rate,edges_intersect_rate,sampled_nodes_intersect_rate_mean,sampled_edges_intersect_rate_mean,sampled_nodes_intersect_rate_std,sampled_edges_intersect_rate_std,gini_betweenness_centrality,global_efficiency,information_centrality,jaccard_coefficient,ks_stat,ks_p,wasserstein_distance,mean_betweenness_centrality,mean_degree,min_edge_cover,powlaw_alpha,powlaw_k,powlaw_rsq,preferential_attachment,resource_allocation_index,shortest_path_length,wiener_index
1547942400,2019-01-20,1137,3240,1,0.0050169088409082,505,6,0.0244725377978986,0.1287069453321813,-0.1754008368733401,11,19,-5.212119748276381,-4.315611702630369,-72.74007025575855,-71.13188183401762,1.7588415276177736,0.9183548923129118,0.0017743910159257,80.05696976811193,0.0172452606492492,0.6055224387079383,3.0949559138859444,0.5329372761651995,5.248517960320563,,,,,,,0.932285668184844,0.354184385112184,0.0007575890907212,0.0689878149222592,,,,0.0017726152029554,5.699208443271768,906,-2.0665257709758107,0.620451037016141,0.8749006262088419,26.95643161275865,0.0037587498761893,3.0315,1940607
1548028800,2019-01-21,1222,3760,1,0.005040005040005,522,6,0.0280355791067373,0.1550525206031091,-0.1728022470055653,11,14,-6.388070142921947,-14.85181515784032,-78.36300406622252,-83.6850452116543,1.8528707252111507,0.9006126783995079,0.0016478896460672,87.6816404443737,0.0178788515445132,0.5892018301773754,3.1928214674902904,0.5405249032145601,5.599451883717966,0.9973614775725592,0.9920627137455617,0.9995,0.9984844361987218,0.0021794494717703,0.005735072786943,0.9391417129854,0.3608679704396285,0.0007312779201678,0.0654294089157932,0.0263118120301076,0.7955045213561729,0.5041909754759837,0.0016095593179653,6.153846153846154,982,-2.0736726917273063,0.6139765083411237,0.8380065119884617,30.932245770075887,0.0037860365027755,2.9656,2208543
1548201600,2019-01-23,1204,3686,1,0.0050897120432584,512,7,0.0274938315121607,0.1582217144712632,-0.173992484327887,9,14,-7.075949599548871,-14.589810335689434,-79.49872893300888,-82.78535040274578,1.8506502293546312,0.8989398097499811,0.0016722035989855,86.75977297877458,0.0179065518583724,0.5886308746166512,3.189525825487174,0.5444752770860968,5.56724351492652,0.9852700490998364,0.9928238650328772,0.9963,0.994645935793874,0.006878226515607,0.0048899893191706,0.9395412390924212,0.3623895358338576,0.0007434913830722,0.0680325729295427,0.0021423405886542,1.0,0.0649526129486515,0.0016239243259964,6.122923588039867,969,-2.0507438988575792,0.6185765010212501,0.8636644133810046,30.56720979292733,0.0038159670737602,2.9545,2135420
1548633600,2019-01-28,1148,3353,1,0.0050928190188615,509,7,0.02517569394541,0.1615099456894517,-0.1794619456828901,9,21,-6.807718999085218,42.395527491283104,-76.26282987896852,-49.07481462238966,1.7685615254458684,0.8968610985832227,0.0017553000137534,83.44721226416291,0.0177851413460742,0.6030889797015615,3.1061303983608517,0.5302390705849682,5.298434190388972,0.95265780730897,0.967150058350869,0.9838,0.9648319726905908,0.0123109707172099,0.0154906097647031,0.9428102212559109,0.365417181818824,0.0007612532956911,0.0787205471314955,0.0186168057693865,0.9838667773388554,0.3236771736488201,0.0016593320460086,5.841463414634147,932,-2.0828927521808507,0.607388093190297,0.862225667269663,27.58790733178123,0.0037667283314121,2.9182,1904620
1548720000,2019-01-29,1139,3205,1,0.0049452931764212,517,7,0.0247263039587062,0.1612940713879198,-0.1825322885485687,12,16,21.75373172017532,-12.881487879934216,-49.08830547903337,-76.49703334738709,1.7164750011958196,0.8967006468811957,0.0017718353793019,82.92068270907387,0.0174454419601251,0.6119363608549333,3.037906809285327,0.5278829183269471,5.089051214075972,0.9921602787456446,0.9816908427983108,0.9974,0.9829772991858412,0.0052191953402799,0.0111698879555871,0.9452737133523762,0.3658821207547509,0.0007522046514518,0.0819681669354034,0.0116720150018507,0.9999967529854784,0.2252281327529198,0.0016678684303738,5.62774363476734,930,-2.090987378787614,0.5877473894152676,0.8556611871828114,25.4719407771296,0.0036110485673689,2.9035,1871428
1548806400,2019-01-30,1076,2793,1,0.0048292556410478,497,7,0.0218511757757972,0.1670648665983627,-0.192029787773887,10,17,21.20629223568327,11.253805797626423,-41.80916438800512,-57.42900942292469,1.6348439526238436,0.8937358588903441,0.0018740347940317,79.54875864928192,0.0171970356953726,0.6244646060847612,2.9355965301048497,0.5125065114628434,4.672690413345063,0.9446883230904302,0.9663698452494164,0.9791,0.9503793048259568,0.0146352314638341,0.0187266592010563,0.9483743627239892,0.3712892053317075,0.0007732398578565,0.0973494775018978,0.0197688574403295,0.97794698871402,0.4869545776474814,0.0017350231724199,5.191449814126394,881,-2.1202797099591844,0.6022825772795853,0.8610556987657985,21.238508088686263,0.0034330352030809,2.8864,1651762
1550620800,2019-02-20,2588,12684,1,0.0037890080529863,824,7,0.0760667497021005,0.29095881801142,-0.3315267828211252,3,10,59.8871686589164,30.80316878953711,105.15829883869988,-89.90990523692234,2.496565277941246,0.7848319143646337,0.0007786644375753,191.469487581343,0.0190880174776536,0.4932508747261961,3.766507493363234,0.5609725595307804,7.566728492826733,0.8187732342007435,0.856428645134661,0.9027,0.8482813061575791,0.0250541413742319,0.0261119632475386,0.9659860458640754,0.3715459469807198,0.0004440825190986,0.042580884433722,0.1562602345397401,1.151644962959057e-16,4.667079399918412,0.0006995148694908,9.802163833075737,2099,-2.107862151361768,0.5997109051444149,0.8354054640461182,71.1890090059834,0.0025480110221547,2.8247,9377337
1551052800,2019-02-25,3014,18836,1,0.0041483586607998,789,7,0.0809728640079593,0.2985260251752412,-0.3402934602092942,4,8,39.748653951003405,38.2406111869532,-39.52127909907105,-96.99033406308568,3.198677000416906,0.7715571457302185,0.0006672930559423,227.64375175167717,0.0199373477639162,0.4297783180946297,4.200412866162826,0.5981476587383939,9.65636808756092,0.9934312210200928,0.9912396121359612,0.9966,0.9996083800343004,0.0058685603004484,0.0013509201899659,0.9631627436267994,0.3794200290592373,0.0004525732892945,0.0365087480554258,0.0915765069551777,1.2910821583068852e-10,2.717484813272214,0.0005828899820838,12.499004644990046,2333,-2.048481359035654,0.6319523705847266,0.8370459951787924,117.5107764573711,0.0028849742429552,2.7652,12482259
1551139200,2019-02-26,3071,19292,1,0.0040925034763581,804,7,0.0800877211071986,0.2970517533315622,-0.335216104191224,5,7,15.07241591658136,17.075918207074402,-117.56878306530356,-124.36097029521088,3.215300642662206,0.7725165955797988,0.0006549527108972,231.8188182384623,0.0197171451820174,0.4291531681135765,4.206514846796028,0.6019036535956344,9.723338286568842,0.9993364299933644,0.9933715817566664,0.9998,1.0,0.0014,0.0,0.962966017182688,0.3791911625754173,0.0004450451170368,0.0361173688707903,0.0031369942547499,1.0,0.1621310471895262,0.0005729424879177,12.563985672419408,2378,-2.0523795707854093,0.6259090995048535,0.8175800516759064,119.05525387922064,0.0028531548152406,2.7696,12972213
1551225600,2019-02-27,3127,20154,1,0.0041235797189606,804,7,0.0788910122942542,0.2990616941961061,-0.3370598670173582,4,7,40.90569029223762,63.32071782117619,-40.77191573237509,-54.01523920468664,3.313130370715013,0.7712423819526733,0.0006433488624125,236.8646417515977,0.0196988938823371,0.4225697395298062,4.254266394862102,0.6058165149038831,10.009995196817991,0.999348746336698,0.9928784841305344,0.9999,0.9997696969696968,0.0009949874371066,0.0013612084633762,0.962351342247816,0.3805078578722137,0.0004459084200555,0.0358508050406771,0.0113907952052985,0.9860155633587948,0.3645237741430708,0.000560063721726,12.890310201471058,2399,-2.033328319562961,0.6356987895014057,0.8373640962540513,125.98847503578438,0.0028942106429282,2.7528,13410384
